   1.333058180D+00   4.272198140D+01  -5.059424810D+01   4.323438990D+01  -2.864935050D+01   1.493195150D+01  -6.028406290D+00   1.800969590D+00  -3.597064530D-01   3.662071820D-02
  -6.822654400D+02   1.750568380D+03  -2.083812020D+03   1.771784580D+03  -1.164033480D+03   6.003027430D+02  -2.394787280D+02   7.061539100D+01  -1.390595100D+01   1.393874870D+00
  -4.646389960D+01   1.493453580D+02  -1.695274050D+02   1.381920000D+02  -8.739938360D+01   4.355150830D+01  -1.684490050D+01   4.830551260D+00  -9.275099970D-01   9.081268670D-02
  -3.302791080D+01   1.240470040D+02  -1.464944980D+02   1.238249980D+02  -8.091662830D+01   4.152862620D+01  -1.649813820D+01   4.848427820D+00  -9.523959520D-01   9.531931210D-02
  -2.764023140D+01   1.144946470D+02  -1.381920160D+02   1.197331830D+02  -8.031891580D+01   4.233779960D+01  -1.727433430D+01   5.212130120D+00  -1.050806160D+00   1.079304900D-01
   2.007459510D+00   4.029543010D+01  -4.763921070D+01   4.066005380D+01  -2.691500360D+01   1.401442260D+01  -5.652866820D+00   1.687345100D+00  -3.367416800D-01   3.425644740D-02
  -9.422954630D+02   2.401614280D+03  -2.858337470D+03   2.430747750D+03  -1.597536600D+03   8.242612390D+02  -3.290076120D+02   9.707478510D+01  -1.912896710D+01   1.918707310D+00
  -7.083968960D+01   2.078747150D+02  -2.352847000D+02   1.913958840D+02  -1.208581850D+02   6.014855680D+01  -2.324060440D+01   6.659106740D+00  -1.277746580D+00   1.250347150D-01
  -5.432383030D+01   1.787259820D+02  -2.108266980D+02   1.778452010D+02  -1.159907710D+02   5.942998080D+01  -2.357808410D+01   6.921928840D+00  -1.358677470D+00   1.359103620D-01
  -4.996854020D+01   1.735931150D+02  -2.103601570D+02   1.827823160D+02  -1.229146090D+02   6.493299140D+01  -2.654583590D+01   8.023938310D+00  -1.620325300D+00   1.666754630D-01
  -2.123756880D-01   4.779570600D+01  -5.677483040D+01   4.862047790D+01  -3.227923050D+01   1.685294530D+01  -6.814928160D+00   2.039022580D+00  -4.078355100D-01   4.157731080D-02
  -7.081724440D+02   1.812970970D+03  -2.157321380D+03   1.834632430D+03  -1.205783790D+03   6.221151020D+02  -2.483005710D+02   7.325372350D+01  -1.443304420D+01   1.447483300D+00
  -4.963622830D+01   1.559752020D+02  -1.756638460D+02   1.423998410D+02  -8.969978260D+01   4.456745410D+01  -1.720162100D+01   4.925546790D+00  -9.447986030D-01   9.244545160D-02
  -4.128281370D+01   1.453092820D+02  -1.712021710D+02   1.442930820D+02  -9.402169980D+01   4.812506230D+01  -1.907215240D+01   5.592667800D+00  -1.096464520D+00   1.095494590D-01
  -3.872424710D+01   1.439309640D+02  -1.741275210D+02   1.511181150D+02  -1.015157210D+02   5.357831120D+01  -2.188528260D+01   6.610112450D+00  -1.333883990D+00   1.371218850D-01
   8.878275420D-01   4.417020390D+01  -5.235786890D+01   4.477077530D+01  -2.968439820D+01   1.547951050D+01  -6.252511180D+00   1.868772800D+00  -3.734096350D-01   3.803142170D-02
  -5.537263340D+02   1.427329090D+03  -1.704260570D+03   1.457774010D+03  -9.656011700D+02   5.028329510D+02  -2.027496190D+02   6.045612810D+01  -1.204007440D+01   1.220253060D+00
  -3.848488670D+01   1.290344540D+02  -1.451649450D+02   1.174071050D+02  -7.372993480D+01   3.650433480D+01  -1.403658400D+01   4.003661590D+00  -7.649535610D-01   7.455565220D-02
  -3.175602010D+01   1.207581860D+02  -1.424503880D+02   1.202774620D+02  -7.851664030D+01   4.025679060D+01  -1.597780170D+01   4.691341990D+00  -9.207678540D-01   9.208092950D-02
  -2.786699690D+01   1.150788280D+02  -1.388986240D+02   1.203434650D+02  -8.072594790D+01   4.255074150D+01  -1.736044700D+01   5.237854190D+00  -1.055935910D+00   1.084511800D-01
   1.958074510D+00   4.042831780D+01  -4.780089570D+01   4.080076530D+01  -2.700969820D+01   1.406446250D+01  -5.673324270D+00   1.693527610D+00  -3.379897920D-01   3.438479480D-02
  -3.997524310D+02   1.036906750D+03  -1.231655380D+03   1.046357700D+03  -6.874352580D+02   3.547194350D+02  -1.416490400D+02   4.182288540D+01  -8.248659920D+00   8.282237370D-01
  -2.595419130D+01   9.835175940D+01  -1.104740420D+02   8.933824250D+01  -5.613814740D+01   2.782649710D+01  -1.071595530D+01   3.061815250D+00  -5.860875700D-01   5.723196750D-02
  -2.172067080D+01   9.466420090D+01  -1.114659420D+02   9.404222260D+01  -6.136271780D+01   3.145212410D+01  -1.248028910D+01   3.663636080D+00  -7.189089180D-01   7.187816210D-02
  -2.066125780D+01   9.564389170D+01  -1.151561260D+02   9.958841560D+01  -6.669308850D+01   3.510016400D+01  -1.430015070D+01   4.308724870D+00  -8.675241260D-01   8.899263950D-02
   2.558298970D+00   3.794662870D+01  -4.477929450D+01   3.816900030D+01  -2.523705600D+01   1.312688620D+01  -5.289666000D+00   1.577472480D+00  -3.145388780D-01   3.197099330D-02
  -3.210078380D+02   8.393619080D+02  -9.966860120D+02   8.465251040D+02  -5.560670620D+02   2.869074230D+02  -1.145602800D+02   3.382072250D+01  -6.669226960D+00   6.694736180D-01
  -1.908094310D+01   8.146974390D+01  -9.161655860D+01   7.411727570D+01  -4.656049050D+01   2.306434770D+01  -8.875033260D+00   2.533686070D+00  -4.845842440D-01   4.728071090D-02
  -1.468894220D+01   7.611847480D+01  -8.961598030D+01   7.569440050D+01  -4.946822340D+01   2.539938840D+01  -1.009640960D+01   2.969019520D+00  -5.835903110D-01   5.844322190D-02
